SMILES,HeavyAtoms,NumBonds,NumRings,MW
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(-c7cc8cc(C(C)(C)C)cc9ccc%10cc(C(C)(C)C)cc7c%10c98)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,80,90,11,1067.5119999999988
CC(C)c1cccc(C(C)C)c1Oc1cc2c3c(ccc4c5ccc6c7c(ccc(c1c34)c75)C(=O)N(C1CCCCC1)C6=O)C(=O)N(C1CCCCC1)C2=O,55,64,10,730.9049999999995
CC(C)(C)c1cc(-c2ccc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(c3ccc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc3)C7=O)cc2)cc(C(C)(C)C)c1,70,80,11,919.1779999999998
CCOCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCOCC)C5=O,42,48,7,562.6220000000003
Nc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(N)c(S(=O)(=O)O)c2)C6=O)cc1S(=O)(=O)O,52,60,9,732.7080000000004
CCOC(CC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CC)OCC)C5=O,42,48,7,562.6220000000003
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1cccc(S)c1)c64)C(=O)N(c1cccc(S)c1)C5=O,44,52,9,606.6840000000004
NCC(CN)CCC(=O)NCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCNC(=O)CCC(CN)CN)C5=O,56,62,7,760.8959999999997
Cc1cccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cccc(C)c2C)C6=O)c1C,46,54,9,598.6580000000001
O=C(O)c1cc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(O)c(C(=O)O)c2)C6=O)ccc1O,50,58,9,662.5660000000005
Cc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(C)c(C)c2)C6=O)cc1C,46,54,9,598.6580000000002
CCCCC(CCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(N(C)C)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCC)CCCC)C5=O,51,57,7,685.9089999999998
COCCOCCC(CO)(CCOCCOC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CO)(CCOCCOC)CCOCCOC)C5=O,66,72,7,915.0459999999996
CCCCCCC(CO)(CCCCCC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CO)(CCCCCC)CCCCCC)C5=O,62,68,7,843.1619999999994
COCCC(CO)(CCOC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CO)(CCOC)CCOC)C5=O,54,60,7,738.834
N#Cc1cc2c3c(ccc4c5c(N6CCCC6)cc6c7c(ccc(c1c34)c75)C(=O)N(C1CCCCC1)C6=O)C(=O)N(C1CCCCC1)C2=O,49,58,10,648.763
O=C1c2ccc3c4c(N5CCCC5)cc5c6c(ccc(c7c(N8CCCC8)cc(c2c37)C(=O)N1C1CCCCC1)c64)C(=O)N(C1CCCCC1)C5=O,52,62,11,692.8599999999998
