SMILES,Reason
CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCC)C1=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCOCCO)C(=O)N(C2=O)CCOCCO,PDI core not found
CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CC)C1=O,PDI core not found
CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=C(C=CC=C6C(C)C)C(C)C)C2=O,PDI core not found
C1=CC(=CC=C1N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)[N+](=O)[O-])C2=O)[N+](=O)[O-],PDI core not found
CC1=CC(=C(C(=C1)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=C(C=C(C=C6C)C)C)C2=O)C,PDI core not found
CC1=CC=C(C=C1)CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)CC6=CC=C(C=C6)C)C2=O,PDI core not found
C1CC(C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6CCC6)C2=O,PDI core not found
CCC(CC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)C(CC)CC)C1=O,PDI core not found
C1CCCC(CC1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6CCCCCC6)C2=O,PDI core not found
C1CCC(C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6CCCC6)C2=O,PDI core not found
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCC5=CC=NC=C5)C(=O)N(C2=O)CCC6=CC=NC=C6,PDI core not found
CCCCCCCCN1C(=O)C2=C3C=CSC3=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCCCC)C=CS6)C1=O,PDI core not found
CCCCOC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)OCCCC)C2=O,PDI core not found
CCCCCCCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)C=CS5)CCCCCCCC,PDI core not found
CCCCCCC1=CC=C(S1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)C5=CC6=C7C8=C5C(=O)N(C(=O)C8=CC(=C7C(=O)N(C6=O)CC(CC)CCCC)C9=CC=C(S9)C1=CC=C(S1)C1=CC=C(S1)C1=CC=C(S1)CCCCCC)CC(CC)CCCC,PDI core not found
C1=CC=C(C=C1)NC2=C3C4=C5C(=C2)C(=O)N(C(=O)C5=C(C=C4C(=O)N(C3=O)C6=CC=CC=C6)NC7=CC=CC=C7)C8=CC=CC=C8,PDI core not found
CC1=CC=CC=C1N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC=C6C)C2=O,PDI core not found
COC1=CC=CC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC(=CC=C6)OC)C2=O,PDI core not found
C1=CC=C(C(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=CC=C6O)C2=O)O,PDI core not found
